id,name,category,cluster,tier,outside_district,notes
narmada-junaraj,Junaraj (Old Rajpipla),fort,rajpipla,3,false,Verify existence/route
dang-pandav-caves,Pandav Caves & Waterfall,religious-site,dang-interior,3,false,Javatla village via Linga; cave + monsoon fall
dang-chimer-falls,Chimer (Chichkund) Falls,waterfall,dang-interior,3,false,Claimed ~100 m (unofficial); Dang-Tapi border zone
dang-don-falls,Don Waterfall,waterfall,dang-interior,3,false,Pool at base; near Don village
dang-birsa-falls,Birsa Waterfall,waterfall,dang-interior,3,false,Between Ahwa and Don; map-pin grade
dang-koshmal-falls,Koshmal Falls (Bhigu Dhodh),waterfall,waghai,3,false,Guide essential; forest warnings posted
narmada-juna-ghanta-falls,Juna Ghanta Waterfall,waterfall,rajpipla,3,false,Karjan stream; aka Juna Ghata/Takara
narmada-mandan-lake,Mandan Lake View,lake,rajpipla,3,false,Karjan reservoir bank; boating
narmada-barkhadi-falls,Barkhadi Falls,waterfall,rajpipla,3,false,Devsatra belt; 2 km walk from Barkhadi school
dang-u-turn-point,U Turn Eco Tourism Point,viewpoint,dang-interior,3,false,Gira hairpin deck; EDC restaurant + Girli Lodges
dang-bhalkhet-falls,Bhalkhet Waterfall,waterfall,dang-interior,3,false,Godadiya/Subir belt; plus-code located
dang-mahal-falls,Mahal Waterfall,waterfall,dang-interior,3,false,Campsite trail fall; river crossing
dang-gaumukh-falls,Gaumukh Waterfalls (Songadh),waterfall,dang-interior,3,true,OD: Songadh (Tapi); temple + fall
dang-medha-falls,Medha Waterfall,waterfall,dang-interior,3,true,OD: Songadh (Tapi); Jamkhadi; multi-tier
narmada-kesharva-falls,Kesharva Waterfall,waterfall,rajpipla,3,false,Bathing tiers 24 km W of Rajpipla
narmada-kadia-dungar-caves,Kadia Dungar Caves,monument,rajpipla,3,true,OD: Jhagadia (Bharuch); 7 Buddhist caves
